label,value_1,value_2,value_3,value_4,value_5,value_6,value_7,value_8,value_9,value_10,value_11,value_12,value_13,value_14,value_15,value_16,value_17,value_18,value_19,value_20,value_21,value_22,value_23,value_24,value_25,value_26,value_27,value_28,value_29,value_30,value_31,value_32,value_33,value_34,value_35,value_36,value_37,value_38,value_39,value_40,value_41,value_42,value_43,value_44,value_45
trip_id,387287301,387287301,387287301,387287301,387287301,387287301,387287301,387287301,387287301,387287301,387287301,387287301,387287301,387287301,387287301,387287301,387287301,387287301,387287301,387287301,387287301,387287301,387287301,387287301,387287625,387287625,387287625,387287625,387287625,387287625,387287625,387287625,387287625,387287625,387287625,387287625,387287625,387287625,387287625,387287625,387287625,387287625,387287625,387287625,387287625
dest_taz,408,415,437,466,479,504,510,520,523,533,546,563,564,572,583,586,595,651,659,671,680,688,702,713,405,407,414,465,466,520,590,605,607,608,611,612,625,644,747,751,752,761,765,767,811
prob,0.004695465788245201,0.0026387935504317284,0.0009290425223298371,0.02584453672170639,0.00032755997381173074,0.005583339836448431,0.0001173966156784445,0.0020428646821528673,0.007153126876801252,0.002702761208638549,0.025797642767429352,0.024721305817365646,0.01082900632172823,0.0012459553545340896,0.037181224673986435,0.003229249734431505,0.00980139710009098,0.0029172629583626986,0.006956262048333883,0.005552371498197317,0.01288285106420517,0.0026863059028983116,0.02016819454729557,0.0006319692474789917,0.029197512194514275,0.02480071783065796,0.005388762801885605,0.003533857874572277,0.02293526381254196,0.00012138840975239873,0.005819218698889017,0.01806137152016163,0.1256750226020813,0.022874807938933372,0.008580096997320652,0.004042149055749178,0.0036026278976351023,0.0006037655984982848,0.00037231174064800143,0.09587448090314865,0.07296500355005264,0.019133413210511208,0.006837700493633747,0.047022659331560135,0.00041491285082884133
pick_count,1,1,1,1,1,1,1,1,1,1,2,3,1,1,3,1,1,1,1,1,1,1,2,1,1,2,1,1,1,1,2,1,5,2,1,1,1,1,1,2,1,2,1,1,1
person_id,1180753,1180753,1180753,1180753,1180753,1180753,1180753,1180753,1180753,1180753,1180753,1180753,1180753,1180753,1180753,1180753,1180753,1180753,1180753,1180753,1180753,1180753,1180753,1180753,1180754,1180754,1180754,1180754,1180754,1180754,1180754,1180754,1180754,1180754,1180754,1180754,1180754,1180754,1180754,1180754,1180754,1180754,1180754,1180754,1180754
household_id,456291,456291,456291,456291,456291,456291,456291,456291,456291,456291,456291,456291,456291,456291,456291,456291,456291,456291,456291,456291,456291,456291,456291,456291,456291,456291,456291,456291,456291,456291,456291,456291,456291,456291,456291,456291,456291,456291,456291,456291,456291,456291,456291,456291,456291
tour_id,48410912,48410912,48410912,48410912,48410912,48410912,48410912,48410912,48410912,48410912,48410912,48410912,48410912,48410912,48410912,48410912,48410912,48410912,48410912,48410912,48410912,48410912,48410912,48410912,48410953,48410953,48410953,48410953,48410953,48410953,48410953,48410953,48410953,48410953,48410953,48410953,48410953,48410953,48410953,48410953,48410953,48410953,48410953,48410953,48410953
primary_purpose,work,work,work,work,work,work,work,work,work,work,work,work,work,work,work,work,work,work,work,work,work,work,work,work,work,work,work,work,work,work,work,work,work,work,work,work,work,work,work,work,work,work,work,work,work
trip_num,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
outbound,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
trip_count,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
purpose,eatout,eatout,eatout,eatout,eatout,eatout,eatout,eatout,eatout,eatout,eatout,eatout,eatout,eatout,eatout,eatout,eatout,eatout,eatout,eatout,eatout,eatout,eatout,eatout,shopping,shopping,shopping,shopping,shopping,shopping,shopping,shopping,shopping,shopping,shopping,shopping,shopping,shopping,shopping,shopping,shopping,shopping,shopping,shopping,shopping
destination,755,755,755,755,755,755,755,755,755,755,755,755,755,755,755,755,755,755,755,755,755,755,755,755,604,604,604,604,604,604,604,604,604,604,604,604,604,604,604,604,604,604,604,604,604
origin,697,697,697,697,697,697,697,697,697,697,697,697,697,697,697,697,697,697,697,697,697,697,697,697,755,755,755,755,755,755,755,755,755,755,755,755,755,755,755,755,755,755,755,755,755
failed,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
next_trip_id,387287302,387287302,387287302,387287302,387287302,387287302,387287302,387287302,387287302,387287302,387287302,387287302,387287302,387287302,387287302,387287302,387287302,387287302,387287302,387287302,387287302,387287302,387287302,387287302,387287626,387287626,387287626,387287626,387287626,387287626,387287626,387287626,387287626,387287626,387287626,387287626,387287626,387287626,387287626,387287626,387287626,387287626,387287626,387287626,387287626
tour_mode,DRIVEALONEFREE,DRIVEALONEFREE,DRIVEALONEFREE,DRIVEALONEFREE,DRIVEALONEFREE,DRIVEALONEFREE,DRIVEALONEFREE,DRIVEALONEFREE,DRIVEALONEFREE,DRIVEALONEFREE,DRIVEALONEFREE,DRIVEALONEFREE,DRIVEALONEFREE,DRIVEALONEFREE,DRIVEALONEFREE,DRIVEALONEFREE,DRIVEALONEFREE,DRIVEALONEFREE,DRIVEALONEFREE,DRIVEALONEFREE,DRIVEALONEFREE,DRIVEALONEFREE,DRIVEALONEFREE,DRIVEALONEFREE,DRIVEALONEFREE,DRIVEALONEFREE,DRIVEALONEFREE,DRIVEALONEFREE,DRIVEALONEFREE,DRIVEALONEFREE,DRIVEALONEFREE,DRIVEALONEFREE,DRIVEALONEFREE,DRIVEALONEFREE,DRIVEALONEFREE,DRIVEALONEFREE,DRIVEALONEFREE,DRIVEALONEFREE,DRIVEALONEFREE,DRIVEALONEFREE,DRIVEALONEFREE,DRIVEALONEFREE,DRIVEALONEFREE,DRIVEALONEFREE,DRIVEALONEFREE
trip_period,PM,PM,PM,PM,PM,PM,PM,PM,PM,PM,PM,PM,PM,PM,PM,PM,PM,PM,PM,PM,PM,PM,PM,PM,AM,AM,AM,AM,AM,AM,AM,AM,AM,AM,AM,AM,AM,AM,AM,AM,AM,AM,AM,AM,AM
is_joint,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
hhsize,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
age,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38
auto_ownership,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
number_of_participants,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
tour_category,mandatory,mandatory,mandatory,mandatory,mandatory,mandatory,mandatory,mandatory,mandatory,mandatory,mandatory,mandatory,mandatory,mandatory,mandatory,mandatory,mandatory,mandatory,mandatory,mandatory,mandatory,mandatory,mandatory,mandatory,mandatory,mandatory,mandatory,mandatory,mandatory,mandatory,mandatory,mandatory,mandatory,mandatory,mandatory,mandatory,mandatory,mandatory,mandatory,mandatory,mandatory,mandatory,mandatory,mandatory,mandatory
parent_tour_id,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
