label,value
household_id,866761
serialno,2010000676000.0
hhsize,4
VEHICL,3
income,13700
race_of_head,1
age_of_head,38
num_workers,2
children,2
tenure,2
recent_mover,1
block_id,60133660022001
TAZ,974
HHT,4
sample_rate,0.004
chunk_id,0
income_in_thousands,13.7
income_segment,1
median_value_of_time,6.01
hh_value_of_time,8.658925286889026
num_non_workers,2
num_drivers,2
num_adults,2
num_children,2
num_young_children,1
num_children_5_to_15,1
num_children_16_to_17,0
num_college_age,0
num_young_adults,0
non_family,True
family,False
home_is_urban,False
home_is_rural,False
auto_ownership,3
hh_work_auto_savings_ratio,0.6957204937934875
auPkRetail,10.474082237415876
auPkTotal,12.787125051286655
auOpRetail,10.689410849380954
auOpTotal,12.991564390610817
trPkRetail,7.228674024292459
trPkTotal,9.406842170780815
trOpRetail,7.228674024292459
trOpTotal,9.406842170780815
nmRetail,6.52596922237141
nmTotal,8.078729940881281
objectid,975
taz1454,1071
district,20
county,Contra Costa
gacres,429.888175288
Shape__Are,0.000110673351173
Shape__Len,0.051288967170921
geometry,"POLYGON ((-122.344394235 37.9677279140001, -122.344894236 37.9662279130001, -122.345394236 37.9651279140001, -122.345594235 37.964127913, -122.345794235 37.963327914, -122.345694235 37.962927914, -122.347294235 37.9626279140001, -122.348009236 37.963067913, -122.348594235 37.9634279140001, -122.351195236 37.9633279130001, -122.351495235 37.964527914, -122.352067237 37.964374913, -122.352995236 37.964127913, -122.355095237 37.9639279130001, -122.355895237 37.9644279130001, -122.355295237 37.965027913, -122.355352237 37.9652169130001, -122.355595236 37.9660279140001, -122.356595237 37.9669279130001, -122.356891237 37.967045914, -122.357023238 37.9670829140001, -122.356971237 37.9672209130001, -122.353980239 37.9788319140001, -122.353791238 37.978796914, -122.353530238 37.9788069140001, -122.353495237 37.9789279140001, -122.351195237 37.978527915, -122.351395237 37.977827914, -122.351595238 37.9771279140001, -122.351695237 37.976527914, -122.352195238 37.9754279140001, -122.351395238 37.9747279150001, -122.350895237 37.9741279140001, -122.350095236 37.9734279140001, -122.349395237 37.9727279140001, -122.348795237 37.9720279150001, -122.348095236 37.971527914, -122.347895236 37.9711279140001, -122.347394237 37.970627914, -122.346794237 37.9700279140001, -122.346194236 37.969427915, -122.346994236 37.9682279140001, -122.346094235 37.9680279140001, -122.345194235 37.967927914, -122.344394235 37.9677279140001))"
TOTHH,1716.0
TOTPOP,6031.0
EMPRES,2469.0
HHINCQ1,542.0
HHINCQ2,533.0
HHINCQ3,456.0
HHINCQ4,185.0
AGE0004,405.0
AGE0519,1559.0
AGE2044,2106.0
AGE4564,1544.0
AGE65P,417.0
AGE62P,600.0
SHPOP62P,0.0994859890565412
TOTEMP,230.0
RETEMPN,14.0
FPSEMPN,11.0
HEREMPN,47.0
AGREMPN,0.0
MWTEMPN,35.0
OTHEMPN,123.0
TOTACRE,260.92254241560124
HSENROLL,0.0
TOPOLOGY,1
employment_density,0.8814876548062016
pop_density,23.11413933102697
hh_density,6.576664415858443
hq1_density,2.0772448213259187
PRKCST,0.0
OPRKCST,0.0
COLLFTE,0.0
COLLPTE,0.0
area_type_metric,25.31785846804247
area_type,4
TERMINAL,0
county_id,1
density_index,0.7773036051631254
